name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
Samantha Cross,F,438330327,2003-09-07,Junior,School of Communication and Information,0,0,['RA' 'MH' 'BH'],Apartment,1,1,1,6000-8000,8000,"[517085058, 963777419]"
Sarah Thompson,F,212100057,2006-08-20,Sophomore,School of Arts and Sciences,0,1,['SA' 'MRS' 'BH'],Suite,1,1,1,6000-8000,7000,"[679516053, 262135831]"
Charles Frank,M,792249305,2005-12-30,Senior,School of Arts and Sciences,0,1,['NCA' 'CS' 'RA'],Apartment,1,1,1,8000-11000,10000,"[636114121, 253971056]"
Paul Ferguson,M,526410714,2001-05-21,Sophomore,School of Arts and Sciences,0,0,['CS' 'SA' 'WS'],Suite,1,1,1,8000-11000,11000,"[729081548, 591276113]"
Jack Hernandez,M,489563100,2002-08-07,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'SA' 'JS'],Traditional Residence Hall,1,0,1,4000-6000,6000,"[896820845, 572667110]"
Danielle Johnson,F,402293725,2000-11-27,Sophomore,School of Arts and Sciences,0,1,['JS' 'TS' 'BS'],Suite,1,0,1,4000-6000,5000,"[669873743, 891463310]"
Joshua Cuevas,M,660472797,2003-12-01,Sophomore,School of Management and Labor Relations,0,0,['MH' 'MS' 'TS'],Suite,1,1,1,6000-8000,8000,"[223990812, 841379815]"
Matthew Forbes,M,313426909,2002-08-16,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'NCA' 'SA'],Suite,1,1,1,6000-8000,8000,"[983525703, 903480910]"
Angela Gibson,F,259785694,2005-03-29,Freshman,School of Engineering,1,1,['JS' 'MRS' 'MZH'],Suite,1,0,1,8000-11000,10000,"[207279544, 444564200]"
Ashley West,F,180511713,2001-09-02,Sophomore,School of Social Work,0,0,['MH' 'WS' 'CS'],Suite,1,1,1,4000-6000,6000,"[930557127, 231511676]"
Sarah Cox,F,156517348,2005-11-10,Freshman,School of Arts and Sciences,0,0,['NCA' 'SA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,11000,[944276264]
Carol Ayala,F,985695207,2004-02-13,Freshman,School of Social Work,0,0,['AH' 'MS' 'SA'],Apartment,1,1,1,4000-6000,6000,[435556916]
Steven Werner,M,755680232,2003-01-07,Sophomore,School of Arts and Sciences,0,0,['TS' 'RA' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[823407988, 336833817]"
Shirley Brown,F,874005479,2004-01-29,Sophomore,School of Arts and Sciences,0,0,['BS' 'MH' 'MRS'],Apartment,1,1,1,8000-11000,11000,"[905647273, 934766017]"
Dylan Phillips,M,431023082,2003-03-22,Junior,School of Engineering,0,1,['BH' 'BS' 'RA'],Suite,1,1,1,8000-11000,10000,"[955624501, 588592265]"
Elizabeth Wood,F,922592235,2002-02-08,Junior,School of Arts and Sciences,0,0,['AH' 'MS' 'BS'],Apartment,1,1,1,8000-11000,11000,"[339259676, 445940145]"
Miss Natalie Ramirez,F,291292138,2002-01-25,Freshman,Mason Gross School of the Arts,0,1,['MH' 'AH' 'RA'],Suite,1,1,1,6000-8000,7000,"[434786836, 847171763]"
Logan Whitney,M,279405550,2004-01-10,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'SA' 'NCA'],Suite,1,1,1,4000-6000,6000,"[227683570, 165466058]"
Megan Simpson,F,864682992,2000-11-19,Sophomore,School of Arts and Sciences,0,0,['CS' 'MRS' 'MS'],Suite,1,1,0,6000-8000,8000,[149983936]
Sarah Hunter,F,810722289,2005-06-13,Senior,School of Arts and Sciences,0,0,['MRS' 'MZH' 'BS'],Apartment,1,1,1,4000-6000,6000,[668313740]
Carrie Smith,F,227025904,2003-04-08,Sophomore,School of Arts and Sciences,0,0,['WS' 'JS' 'MS'],Apartment,1,1,1,6000-8000,8000,[416956876]
Jenny Torres,F,401572853,2001-09-02,Freshman,School of Arts and Sciences,0,1,['CS' 'SA' 'RA'],Suite,1,1,1,4000-6000,5000,"[204344371, 526895164]"
Courtney Thomas,F,207561717,2002-08-31,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'SA' 'BS'],Suite,1,0,1,8000-11000,11000,[116081452]
Joshua Gentry,M,962954231,2001-10-19,Senior,School of Arts and Sciences,0,1,['BS' 'WS' 'AH'],Apartment,1,1,1,6000-8000,7000,"[146490585, 682289804]"
Jeremy Smith,M,368878584,2004-10-05,Freshman,School of Arts and Sciences,0,1,['JS' 'NCA' 'CS'],Suite,1,1,1,8000-11000,10000,"[640824987, 164261324]"
Peter Mathis,M,161309688,2005-02-27,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'MRS' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[293293576, 172644275]"
Anita Shaffer,F,416883706,2005-01-06,Junior,School of Arts and Sciences,0,0,['NCA' 'BS' 'MH'],Suite,1,1,0,8000-11000,11000,"[849712026, 674005589]"
Ms. Jasmine Wilson,F,216515580,2004-05-10,Sophomore,School of Arts and Sciences,0,1,['CS' 'MH' 'MRS'],Apartment,1,1,1,4000-6000,5000,[319260816]
Preston Washington,M,631989245,2003-11-09,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['MS' 'AH' 'MH'],Apartment,1,1,1,8000-11000,10000,[351628201]
Vanessa Williams,F,262644734,2004-04-30,Freshman,School of Engineering,0,1,['JS' 'BH' 'NCA'],Suite,1,1,0,8000-11000,10000,[601827576]
Kayla Lee,F,390652927,2001-12-19,Freshman,Mason Gross School of the Arts,0,1,['NCA' 'MH' 'MZH'],Apartment,1,1,1,6000-8000,7000,[881617958]
Kimberly Vasquez,F,991978497,2003-05-18,Freshman,School of Communication and Information,0,0,['SA' 'NCA' 'RA'],Apartment,1,1,1,6000-8000,8000,"[133677179, 445026738]"
Debra Garcia,F,788063235,2001-05-28,Sophomore,Mason Gross School of the Arts,0,0,['TS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,11000,"[186715534, 313264034]"
Lisa Bradley,F,145192160,2001-04-29,Sophomore,School of Arts and Sciences,0,0,['TS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[286994568, 427207338]"
Steven Benjamin,M,496280587,2002-10-15,Freshman,School of Arts and Sciences,0,0,['AH' 'JS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000,[557585158]
Michael Johnson,M,902800395,2005-09-22,Freshman,Mason Gross School of the Arts,0,1,['MH' 'RA' 'MZH'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[656593565, 321734880]"
Kimberly Montgomery,F,421397520,2005-10-03,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'SA' 'CS'],Apartment,1,0,1,4000-6000,6000,"[333124835, 188466585]"
Suzanne Hayes,F,578798609,2005-10-14,Freshman,Mason Gross School of the Arts,0,1,['AH' 'CS' 'MRS'],Suite,1,1,1,6000-8000,7000,"[589842861, 836962969]"
Xavier Michael,M,762332178,2000-12-20,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'RA' 'BH'],Apartment,1,1,1,4000-6000,6000,"[884581997, 568561056]"
Tyler Abbott,M,305480722,2003-11-13,Freshman,School of Arts and Sciences,0,1,['CS' 'TS' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[345835999, 877597013]"
Barbara Taylor,F,144188435,2003-02-15,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'JS' 'NCA'],Apartment,1,1,1,8000-11000,11000,[672268744]
Manuel Chang,M,910861333,2002-10-16,Sophomore,Mason Gross School of the Arts,0,1,['CS' 'MH' 'SA'],Suite,1,1,1,4000-6000,5000,"[180224138, 381992982]"
Derrick Wilson,M,767321110,2002-08-02,Sophomore,School of Communication and Information,0,0,['RA' 'SA' 'TS'],Suite,1,1,1,4000-6000,6000,"[682059781, 111325140]"
Brian Spencer,M,172631063,2001-11-30,Senior,Mason Gross School of the Arts,0,1,['WS' 'RA' 'MS'],Apartment,1,1,1,4000-6000,5000,[646938954]
Michael Parsons,M,722281496,2005-03-17,Junior,School of Arts and Sciences,0,1,['MH' 'AH' 'MS'],Apartment,1,1,1,6000-8000,7000,"[935660086, 488460171]"
Leonard Lawrence,M,577168411,2001-09-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['AH' 'BS' 'SA'],Apartment,1,1,1,4000-6000,5000,[275311008]
Adam Holt II,M,630940701,2003-12-27,Freshman,School of Arts and Sciences,1,1,['BS' 'CS' 'TS'],Suite,1,0,1,4000-6000,5000,"[384338217, 219492575]"
Kelsey Wolfe,F,737330209,2006-05-04,Freshman,School of Communication and Information,1,1,['TS' 'SA' 'AH'],Suite,1,1,1,4000-6000,5000,"[170549756, 710375355]"
Crystal Johnson,F,928990242,2003-05-21,Freshman,School of Arts and Sciences,0,1,['MS' 'NCA' 'JS'],Suite,1,1,1,8000-11000,10000,[725808928]
Dennis Key,M,496469028,2004-10-29,Freshman,School of Communication and Information,0,0,['BS' 'MS' 'AH'],Apartment,1,1,1,4000-6000,6000,[111535425]
Daniel Mason,M,895116325,2001-05-25,Junior,School of Arts and Sciences,0,1,['RA' 'WS' 'MZH'],Apartment,1,1,1,8000-11000,10000,"[575349099, 210739890]"
Greg Hayes,M,334152742,2004-05-22,Junior,School of Engineering,0,0,['CS' 'SA' 'NCA'],Suite,1,0,1,6000-8000,8000,[665883829]
Gina Foster,F,909141031,2004-02-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'BH' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[290701841, 802202077]"
Jean Mcconnell,F,235430950,2005-05-18,Freshman,School of Management and Labor Relations,0,0,['TS' 'MRS' 'WS'],Suite,1,1,1,8000-11000,11000,[871818542]
Joel Snow,M,835388457,2001-02-18,Freshman,School of Arts and Sciences,0,0,['RA' 'CS' 'SA'],Apartment,1,1,1,6000-8000,8000,"[877557269, 512616157]"
John Molina,M,318243882,2004-05-10,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,11000,"[569362390, 664899719]"
Jennifer Ayers,F,179389483,2001-09-28,Freshman,School of Arts and Sciences,0,0,['AH' 'RA' 'NCA'],Apartment,1,1,1,6000-8000,8000,"[883458990, 640439640]"
Jacob Charles,M,916513832,2002-06-08,Freshman,School of Environmental and Biological Sciences,1,0,['MZH' 'RA' 'NCA'],Apartment,1,1,1,6000-8000,8000,"[873417124, 886387399]"
Charlotte Woods DDS,F,304702720,2004-07-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'WS' 'SA'],Apartment,1,1,1,4000-6000,6000,"[837849275, 994439374]"
Dana Mendez,F,434832430,2005-06-17,Freshman,Mason Gross School of the Arts,0,0,['SA' 'MS' 'CS'],Apartment,1,1,1,4000-6000,6000,[207569529]
Dorothy Rodriguez,F,113108015,2002-01-09,Sophomore,School of Arts and Sciences,0,0,['TS' 'BH' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[761389597, 695927921]"
Francisco Pena,M,693781553,2005-05-30,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'SA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[325562551, 755067842]"
Donna Grant,F,703120434,2005-05-04,Freshman,School of Social Work,0,0,['NCA' 'CS' 'BS'],Suite,1,1,1,4000-6000,6000,[223244936]
Rhonda Howe,F,102073398,2003-07-31,Senior,School of Arts and Sciences,0,0,['MH' 'JS' 'BS'],Suite,1,1,1,8000-11000,11000,"[528990730, 885516308]"
Michelle Sanchez,F,743195704,2006-04-30,Sophomore,School of Communication and Information,0,1,['CS' 'AH' 'SA'],Suite,1,1,1,4000-6000,5000,"[650703586, 375583435]"
Rodney Morgan,M,453633083,2005-05-08,Sophomore,School of Arts and Sciences,0,0,['MZH' 'BS' 'WS'],Apartment,1,1,1,4000-6000,6000,"[395634744, 531025130]"
Kevin Cunningham,M,790619196,2002-08-09,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,11000,[152576004]
Ann Cline,F,285983803,2005-12-09,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'RA' 'BS'],Apartment,1,1,1,8000-11000,11000,[747484597]
Amy Greer,F,348365886,2002-05-27,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0,['RA' 'BS' 'MS'],Suite,1,1,1,6000-8000,8000,"[229912599, 124203143]"
Heather Blackwell,F,937419839,2001-08-23,Junior,Mason Gross School of the Arts,0,0,['JS' 'WS' 'MS'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[884580868, 964280585]"
William Hamilton,M,349291627,2002-12-10,Freshman,School of Arts and Sciences,0,1,['AH' 'MH' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,7000,[570019958]
Olivia Gonzalez,F,357008453,2005-04-23,Senior,Mason Gross School of the Arts,0,1,['SA' 'TS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[864464517, 575985350]"
Jaime Schwartz,F,340853830,2006-03-30,Freshman,School of Arts and Sciences,0,1,['BS' 'AH' 'TS'],Suite,1,1,1,6000-8000,7000,[343883814]
Allison Mcguire,F,902153287,2006-07-08,Freshman,School of Communication and Information,0,1,['TS' 'WS' 'SA'],Suite,1,1,1,4000-6000,5000,[479491637]
Amber Moore,F,319898696,2004-06-02,Junior,School of Engineering,0,0,['MH' 'SA' 'JS'],Apartment,1,1,1,4000-6000,6000,[289407676]
Valerie Wilson,F,156140617,2003-06-27,Sophomore,School of Arts and Sciences,0,0,['AH' 'WS' 'SA'],Apartment,1,1,1,4000-6000,6000,"[958011029, 461636361]"
Michael Bailey,M,805012553,2003-02-27,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'JS' 'NCA'],Suite,1,1,1,6000-8000,8000,[485208273]
Dennis Hernandez,M,828122190,2003-03-17,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'WS' 'JS'],Suite,1,1,1,8000-11000,11000,[482323016]
Michelle White,F,266495055,2006-04-16,Sophomore,School of Arts and Sciences,0,0,['MRS' 'AH' 'NCA'],Suite,1,1,1,6000-8000,8000,[429659627]
Mr. Manuel Sims,M,879428686,2004-07-10,Freshman,School of Arts and Sciences,0,1,['CS' 'AH' 'BH'],Suite,1,1,1,6000-8000,7000,"[718845900, 685408880]"
Sarah Mullen,F,950142035,2002-05-20,Sophomore,School of Arts and Sciences,0,0,['JS' 'WS' 'MS'],Suite,1,1,1,6000-8000,8000,"[616351397, 246222838]"
Lee Miller,M,665003092,2003-06-30,Sophomore,School of Arts and Sciences,0,1,['BS' 'TS' 'MRS'],Apartment,1,1,1,4000-6000,5000,[344460983]
Angela Lee,F,397100117,2004-05-13,Freshman,School of Communication and Information,0,1,['MS' 'MH' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[586806610, 325425025]"
Krystal Porter,F,378881110,2005-07-20,Sophomore,School of Environmental and Biological Sciences,0,0,['BS' 'WS' 'CS'],Suite,1,0,1,6000-8000,8000,"[278613981, 793481443]"
Jennifer Murphy,F,607036503,2005-12-07,Freshman,School of Arts and Sciences,0,0,['SA' 'MH' 'MRS'],Apartment,1,1,1,4000-6000,6000,"[856171004, 741372471]"
William Hart,M,105890904,2006-08-29,Senior,Mason Gross School of the Arts,0,0,['BS' 'SA' 'NCA'],Suite,1,1,1,8000-11000,11000,[756043986]
Mark Church,M,301130838,2005-09-10,Junior,School of Arts and Sciences,0,0,['BS' 'JS' 'TS'],Suite,1,1,1,6000-8000,8000,"[978393030, 274745784]"
Erik Estrada,M,230794327,2003-04-11,Junior,School of Communication and Information,0,0,['NCA' 'MZH' 'WS'],Apartment,1,1,1,8000-11000,11000,"[448549332, 218441391]"
Carol Reed,F,281216091,2005-06-02,Freshman,School of Communication and Information,0,0,['WS' 'RA' 'BS'],Suite,1,1,1,4000-6000,6000,"[285848142, 486151457]"
Matthew Spence,M,688530525,2004-03-14,Senior,School of Communication and Information,0,1,['BH' 'TS' 'MRS'],Apartment,1,1,1,4000-6000,5000,"[868478514, 334677323]"
Kevin Morris,M,488178782,2003-09-16,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['MH' 'WS' 'CS'],Suite,1,1,1,8000-11000,11000,"[386155125, 465240596]"
Tiffany Frederick,F,499106909,2004-04-11,Freshman,School of Environmental and Biological Sciences,0,1,['MZH' 'AH' 'RA'],Apartment,1,1,1,4000-6000,5000,"[524342003, 349004723]"
Jasmine Hunter,F,231924829,2006-01-09,Freshman,School of Arts and Sciences,0,0,['MZH' 'WS' 'SA'],Suite,1,0,1,4000-6000,6000,"[167871836, 836791265]"
Juan Hill,M,113589986,2001-05-17,Freshman,School of Arts and Sciences,0,0,['CS' 'BS' 'AH'],Suite,1,1,1,6000-8000,8000,"[260259863, 424398787]"
Lisa Johnson,F,245916771,2004-10-06,Junior,School of Arts and Sciences,0,1,['MRS' 'SA' 'JS'],Suite,1,1,1,8000-11000,10000,"[204186967, 935931443]"
David Flores,M,691045474,2005-01-12,Senior,School of Social Work,0,0,['AH' 'MRS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[473565160, 166416333]"
David Mcbride,M,826557541,2004-04-14,Freshman,School of Arts and Sciences,0,1,['MRS' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[387845818, 597259766]"
Jason Lawson,M,864191591,2003-09-23,Freshman,School of Communication and Information,0,0,['WS' 'BH' 'MS'],Apartment,1,1,1,4000-6000,6000,"[953086592, 705647096]"
Adrian Allen,M,818480233,2005-08-25,Sophomore,School of Communication and Information,0,0,['WS' 'RA' 'MH'],Apartment,1,1,1,4000-6000,6000,[824880151]
Zachary Cunningham,M,946930795,2001-01-02,Freshman,School of Arts and Sciences,0,0,['JS' 'WS' 'CS'],Suite,1,1,1,4000-6000,6000,"[167568518, 401140567]"
Monique Kennedy MD,F,412673132,2006-06-07,Freshman,School of Communication and Information,0,0,['WS' 'MH' 'AH'],Apartment,1,1,1,8000-11000,11000,"[450808396, 307713367]"
Gregory Carlson,M,781804651,2006-01-04,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,6000,"[415503012, 609760245]"
Brenda Owens,F,719578221,2002-03-10,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[675647140, 660621872]"
Kristen Anderson,F,624723054,2001-07-07,Freshman,School of Arts and Sciences,0,0,['MS' 'MZH' 'BS'],Suite,1,1,1,4000-6000,6000,"[605350264, 378799038]"
Brian Wilson,M,640271472,2004-06-22,Sophomore,School of Arts and Sciences,0,0,['BS' 'WS' 'JS'],Suite,1,1,1,6000-8000,8000,[853255405]
Mary Mccormick,F,159065201,2000-11-23,Sophomore,School of Arts and Sciences,0,1,['MRS' 'SA' 'BS'],Apartment,1,1,1,4000-6000,5000,"[531310396, 304194447]"
Ashley Frazier,F,427869298,2005-12-02,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['MRS' 'RA' 'BS'],Apartment,1,1,1,4000-6000,6000,[610118208]
Jeffrey Mckinney,M,463742064,2000-12-31,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MH' 'WS'],Suite,1,1,1,8000-11000,11000,"[581422282, 308137217]"
Amanda Hayes,F,450602096,2001-03-10,Senior,School of Management and Labor Relations,0,0,['TS' 'BS' 'MH'],Suite,1,1,1,4000-6000,6000,"[511323445, 230671590]"
Dalton Francis,M,706298992,2006-05-12,Freshman,Mason Gross School of the Arts,0,0,['BS' 'MH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[479043898, 567003272]"
Tammy Moore,F,719119474,2004-10-05,Junior,School of Arts and Sciences,0,0,['BH' 'BS' 'AH'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[145962645, 893335213]"
Frederick White,M,695927921,2004-02-28,Freshman,School of Arts and Sciences,0,0,['MRS' 'SA' 'MS'],Apartment,1,1,1,4000-6000,6000,[761389597]
Rickey Myers,M,192930936,2006-02-21,Junior,School of Arts and Sciences,0,0,['TS' 'MZH' 'RA'],Apartment,1,1,1,4000-6000,6000,"[809973211, 182202087]"
Frank Jenkins,M,767247475,2004-09-02,Freshman,School of Arts and Sciences,0,0,['MS' 'AH' 'CS'],Suite,1,1,1,8000-11000,11000,"[153018428, 366036393]"
Justin Baker,M,107390074,2004-03-05,Freshman,Mason Gross School of the Arts,0,0,['RA' 'WS' 'MS'],Suite,1,1,1,8000-11000,11000,"[846793856, 351672212]"
Randy Hernandez,M,659825787,2001-07-28,Freshman,School of Arts and Sciences,0,0,['CS' 'MRS' 'SA'],Apartment,1,1,1,4000-6000,6000,"[559522972, 430765722]"
Rebecca Hinton,F,224748668,2004-01-21,Freshman,School of Arts and Sciences,0,0,['SA' 'MRS' 'MH'],Suite,1,0,1,6000-8000,8000,"[539493261, 409791038]"
Sarah Melendez,F,306496637,2003-05-04,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['TS' 'MH' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[339642648, 337399106]"
Amy Ellison,F,141034621,2003-10-08,Senior,School of Arts and Sciences,0,0,['BS' 'TS' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[636941490]
Veronica Hicks,F,886105216,2003-09-03,Freshman,School of Environmental and Biological Sciences,0,0,['TS' 'SA' 'NCA'],Apartment,1,1,1,8000-11000,11000,[889770122]
Valerie French,F,248079490,2003-08-29,Junior,School of Engineering,0,0,['RA' 'SA' 'MZH'],Apartment,1,1,1,4000-6000,6000,[992275984]
Mark Hernandez,M,288785538,2001-04-19,Senior,School of Arts and Sciences,0,0,['RA' 'NCA' 'CS'],Apartment,1,1,1,4000-6000,6000,[309801461]
Nicolas Franco,M,907027589,2006-01-31,Freshman,School of Management and Labor Relations,0,1,['RA' 'JS' 'BS'],Apartment,1,1,1,4000-6000,5000,"[421105456, 988645750]"
Mrs. Lynn Dyer,F,389227653,2004-09-01,Freshman,School of Arts and Sciences,0,0,['JS' 'BS' 'SA'],Suite,1,1,1,4000-6000,6000,[337367969]
Craig Parker,M,167568518,2005-06-26,Sophomore,School of Arts and Sciences,0,1,['NCA' 'MS' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,7000,"[946930795, 401140567]"
Megan Morris,F,224699528,2003-08-09,Junior,School of Arts and Sciences,0,0,['TS' 'BS' 'MRS'],Traditional Residence Hall,1,1,1,8000-11000,11000,[980872046]
Melinda Wright,F,719692937,2001-09-12,Freshman,School of Arts and Sciences,0,1,['CS' 'BS' 'SA'],Suite,1,1,1,8000-11000,10000,"[163565817, 800126673]"
Diana Johnson,F,530367623,2005-05-17,Freshman,Mason Gross School of the Arts,0,0,['MS' 'AH' 'RA'],Apartment,1,1,1,8000-11000,11000,"[441093090, 247507062]"
Taylor Williams,F,818275470,2001-08-27,Freshman,School of Communication and Information,0,0,['SA' 'NCA' 'MRS'],Suite,1,1,1,6000-8000,8000,[268659822]
Bryan Jones,M,699049102,2005-05-22,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'SA' 'TS'],Apartment,1,1,1,4000-6000,6000,[333574608]
Martha Hernandez,F,186164369,2005-05-26,Junior,School of Environmental and Biological Sciences,0,0,['MS' 'RA' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[451160811, 729286298]"
Jenna Martin,F,528442513,2003-06-06,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'MRS' 'SA'],Suite,1,1,1,8000-11000,11000,"[191169159, 908542408]"
Caitlyn Brady,F,128672913,2000-12-27,Sophomore,School of Environmental and Biological Sciences,0,0,['BS' 'RA' 'TS'],Suite,1,1,1,4000-6000,6000,[221162101]
Jacqueline Spencer,F,213091473,2003-01-14,Freshman,School of Engineering,0,1,['TS' 'RA' 'BS'],Suite,1,1,1,4000-6000,5000,[761228725]
James Clark,M,478823576,2002-04-11,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'CS' 'RA'],Apartment,1,0,1,4000-6000,6000,[169684460]
Brenda Smith,F,705152155,2005-12-20,Sophomore,School of Social Work,0,1,['MZH' 'CS' 'JS'],Apartment,1,1,1,4000-6000,5000,"[663601485, 860120309]"
Charles Mueller,M,559522972,2006-10-07,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'RA' 'TS'],Suite,1,1,1,4000-6000,6000,"[659825787, 430765722]"
Kristina Wilcox,F,708789405,2006-02-17,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['JS' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000,"[328479804, 363394320]"
Anna Hall,F,104055966,2004-07-06,Sophomore,School of Engineering,0,0,['MH' 'RA' 'BS'],Suite,1,1,1,6000-8000,8000,[399168271]
Brian Pratt,M,647324828,2005-09-26,Junior,School of Arts and Sciences,0,1,['BS' 'SA' 'MZH'],Suite,1,1,1,6000-8000,7000,[104442633]
Brandon Patel,M,332563616,2001-05-07,Sophomore,School of Arts and Sciences,0,0,['RA' 'WS' 'AH'],Suite,1,1,1,4000-6000,6000,"[702892986, 638584919]"
Wesley Burns,M,819651744,2003-10-06,Junior,School of Engineering,0,0,['AH' 'MH' 'NCA'],Suite,1,1,1,6000-8000,8000,"[145359200, 931901274]"
John Miller,M,450970786,2004-09-06,Junior,School of Arts and Sciences,0,0,['AH' 'MH' 'MZH'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[659461150, 675524259]"
Matthew Ramirez MD,M,919610531,2005-01-09,Freshman,Mason Gross School of the Arts,0,0,['SA' 'TS' 'RA'],Suite,1,0,1,4000-6000,6000,[306236538]
Traci Chavez,F,137659554,2003-04-29,Senior,School of Environmental and Biological Sciences,0,0,['AH' 'CS' 'NCA'],Suite,1,1,1,8000-11000,11000,"[794757551, 406656166]"
Joseph Fisher,M,761570469,2002-07-31,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['MS' 'NCA' 'CS'],Suite,1,1,1,4000-6000,5000,"[729912768, 658437047]"
Mrs. Chelsea Estrada,F,646128805,2001-08-19,Freshman,School of Arts and Sciences,0,1,['MRS' 'MZH' 'MS'],Apartment,1,1,1,8000-11000,10000,"[865010974, 229688211]"
Eric Gibson,M,344474786,2003-06-19,Freshman,Mason Gross School of the Arts,0,1,['MS' 'MRS' 'RA'],Apartment,1,1,1,4000-6000,5000,"[254502634, 188690015]"
Savannah Grant,F,238068904,2005-11-04,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'NCA' 'JS'],Suite,1,1,1,6000-8000,8000,[241492001]
Jessica Banks,F,504087717,2003-11-16,Senior,School of Arts and Sciences,0,1,['TS' 'NCA' 'JS'],Suite,1,1,1,8000-11000,10000,"[245491143, 312003325]"
Sara Scott,F,281363626,2006-04-14,Sophomore,School of Communication and Information,0,0,['SA' 'WS' 'BS'],Apartment,1,1,1,6000-8000,8000,"[101561114, 650891413]"
Gregory Wolfe,M,137110692,2004-12-31,Junior,School of Arts and Sciences,0,0,['TS' 'SA' 'MZH'],Suite,1,0,1,4000-6000,6000,"[911217518, 822241673]"
Amy Hamilton,F,391357613,2005-07-06,Freshman,School of Social Work,0,0,['SA' 'NCA' 'JS'],Suite,1,0,1,6000-8000,8000,"[136111951, 998888038]"
Caleb Allen,M,225961133,2001-07-31,Freshman,School of Arts and Sciences,1,0,['MH' 'RA' 'AH'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[436023227, 894333999]"
